filename,rel_path,case_id,court,date,eda_label,est_tokens
KS_Košice_3Cob_219_2023_00_dokument.pdf,data/01_raw_pdfs/3Cob_219_2023/KS_Košice_3Cob_219_2023_00_dokument.pdf,3Cob/219/2023,KS Košice,2025-07-31,1_GOLD_MODERATION,8183
KS_Bratislava_4Cob_204_2018_00_dokument.pdf,data/01_raw_pdfs/4Cob_204_2018/KS_Bratislava_4Cob_204_2018_00_dokument.pdf,B2-42Cb/133/2016,KS Bratislava,2019-03-21,1_GOLD_MODERATION,15610
KS_Bratislava_3Cob_464_2012_00_dokument.pdf,data/01_raw_pdfs/3Cob_464_2012/KS_Bratislava_3Cob_464_2012_00_dokument.pdf,3Cob/464/2012,KS Bratislava,2014-01-29,1_GOLD_MODERATION,3883
KS_Banská_Bystrica_41Cob_154_2013_00_dokument.pdf,data/01_raw_pdfs/41Cob_154_2013/KS_Banská_Bystrica_41Cob_154_2013_00_dokument.pdf,41Cob/154/2013,KS Banská Bystrica,2013-12-30,1_GOLD_MODERATION,5233
KS_Prešov_6Cob_59_2018_00_dokument.pdf,data/01_raw_pdfs/6Cob_59_2018/KS_Prešov_6Cob_59_2018_00_dokument.pdf,6Cob/59/2018,KS Prešov,2019-07-16,1_GOLD_MODERATION,4042
KS_Žilina_14Cob_85_2021_00_dokument.pdf,data/01_raw_pdfs/14Cob_85_2021/KS_Žilina_14Cob_85_2021_00_dokument.pdf,14Cob/85/2021,KS Žilina,2021-11-25,1_GOLD_MODERATION,14410
KS_Bratislava_1CoZm_72_2015_00_dokument.pdf,data/01_raw_pdfs/1CoZm_72_2015/KS_Bratislava_1CoZm_72_2015_00_dokument.pdf,B5-3CbZm/379/2014,KS Bratislava,2016-08-25,1_GOLD_MODERATION,4712
KS_Bratislava_4CoZm_3_2020_00_dokument.pdf,data/01_raw_pdfs/4CoZm_3_2020/KS_Bratislava_4CoZm_3_2020_00_dokument.pdf,B5-3CbZm/840/2015,KS Bratislava,2020-10-29,1_GOLD_MODERATION,6018
KS_Žilina_13Cob_196_2015_00_dokument.pdf,data/01_raw_pdfs/13Cob_196_2015/KS_Žilina_13Cob_196_2015_00_dokument.pdf,DK-8Cb/3/2014,KS Žilina,2015-11-18,1_GOLD_MODERATION,9071
NS_SR_5Obdo_14_2023_00_dokument.pdf,data/01_raw_pdfs/5Obdo_14_2023/NS_SR_5Obdo_14_2023_00_dokument.pdf,5Obdo/14/2023,NS SR,2024-04-25,1_GOLD_MODERATION,21625
KS_Košice_3Cob_224_2014_00_dokument.pdf,data/01_raw_pdfs/3Cob_224_2014/KS_Košice_3Cob_224_2014_00_dokument.pdf,3Cob/224/2014,KS Košice,2015-08-31,1_GOLD_MODERATION,6234
KS_Nitra_15Cob_25_2021_00_dokument.pdf,data/01_raw_pdfs/15Cob_25_2021/KS_Nitra_15Cob_25_2021_00_dokument.pdf,15Cob/25/2021,KS Nitra,2021-06-22,1_GOLD_MODERATION,5328
KS_Banská_Bystrica_41Cob_73_2023_00_dokument.pdf,data/01_raw_pdfs/41Cob_73_2023/KS_Banská_Bystrica_41Cob_73_2023_00_dokument.pdf,PB-14Cb/204/2017,KS Banská Bystrica,2024-04-24,1_GOLD_MODERATION,21851
KS_Prešov_4Cob_62_2020_00_dokument.pdf,data/01_raw_pdfs/4Cob_62_2020/KS_Prešov_4Cob_62_2020_00_dokument.pdf,4Cob/62/2020,KS Prešov,2021-02-11,4_CIVIL_NOISE_LIKELY,6390
KS_Trenčín_16Cob_112_2013_00_dokument.pdf,data/01_raw_pdfs/16Cob_112_2013/KS_Trenčín_16Cob_112_2013_00_dokument.pdf,NM-8Cb/39/2012,KS Trenčín,2013-08-21,1_GOLD_MODERATION,6872
KS_Banská_Bystrica_43Cob_130_2013_00_dokument.pdf,data/01_raw_pdfs/43Cob_130_2013/KS_Banská_Bystrica_43Cob_130_2013_00_dokument.pdf,43Cob/130/2013,KS Banská Bystrica,2013-12-19,1_GOLD_MODERATION,7036
KS_Nitra_26Cob_87_2013_00_dokument.pdf,data/01_raw_pdfs/26Cob_87_2013/KS_Nitra_26Cob_87_2013_00_dokument.pdf,26Cob/87/2013,KS Nitra,2014-04-24,1_GOLD_MODERATION,5746
KS_Prešov_3Cob_53_2011_00_dokument.pdf,data/01_raw_pdfs/3Cob_53_2011/KS_Prešov_3Cob_53_2011_00_dokument.pdf,3Cob/53/2011,KS Prešov,2011-11-29,3_PENALTY_NO_MODERATION,3420
KS_Košice_2Cob_153_2014_00_dokument.pdf,data/01_raw_pdfs/2Cob_153_2014/KS_Košice_2Cob_153_2014_00_dokument.pdf,2Cob/153/2014,KS Košice,2014-11-28,1_GOLD_MODERATION,8118
NS_SR_3Obdo_11_2019_00_dokument.pdf,data/01_raw_pdfs/3Obdo_11_2019/NS_SR_3Obdo_11_2019_00_dokument.pdf,3Obdo/11/2019,NS SR,2019-07-17,1_GOLD_MODERATION,7890
KS_Košice_3Cob_41_2013_00_dokument.pdf,data/01_raw_pdfs/3Cob_41_2013/KS_Košice_3Cob_41_2013_00_dokument.pdf,3Cob/41/2013,KS Košice,2013-08-27,1_GOLD_MODERATION,4988
KS_Prešov_3Cob_45_2011_00_dokument.pdf,data/01_raw_pdfs/3Cob_45_2011/KS_Prešov_3Cob_45_2011_00_dokument.pdf,3Cob/45/2011,KS Prešov,2011-10-27,3_PENALTY_NO_MODERATION,3495
KS_Košice_4Cob_196_2023_00_dokument.pdf,data/01_raw_pdfs/4Cob_196_2023/KS_Košice_4Cob_196_2023_00_dokument.pdf,K2-30Cb/29/2020,KS Košice,2025-03-26,1_GOLD_MODERATION,5095
KS_Bratislava_1Cob_47_2022_00_dokument.pdf,data/01_raw_pdfs/1Cob_47_2022/KS_Bratislava_1Cob_47_2022_00_dokument.pdf,B2-23Cb/161/2015,KS Bratislava,2023-03-30,1_GOLD_MODERATION,23959
KS_Trenčín_8Cob_38_2012_00_dokument.pdf,data/01_raw_pdfs/8Cob_38_2012/KS_Trenčín_8Cob_38_2012_00_dokument.pdf,BN-5Cb/22/2010,KS Trenčín,2013-03-20,1_GOLD_MODERATION,2947
NS_SR_1Obdo_72_2019_00_dokument.pdf,data/01_raw_pdfs/1Obdo_72_2019/NS_SR_1Obdo_72_2019_00_dokument.pdf,1Obdo/72/2019,NS SR,2020-09-29,1_GOLD_MODERATION,8589
KS_Trnava_31Cob_19_2018_00_dokument.pdf,data/01_raw_pdfs/31Cob_19_2018/KS_Trnava_31Cob_19_2018_00_dokument.pdf,PN-12C/193/2014,KS Trnava,2019-03-26,1_GOLD_MODERATION,10104
KS_Prešov_4Cob_2_2017_00_dokument.pdf,data/01_raw_pdfs/4Cob_2_2017/KS_Prešov_4Cob_2_2017_00_dokument.pdf,4Cob/2/2017,KS Prešov,2017-11-14,4_CIVIL_NOISE_LIKELY,4127
NS_SR_4Obo_24_2015_00_dokument.pdf,data/01_raw_pdfs/4Obo_24_2015/NS_SR_4Obo_24_2015_00_dokument.pdf,4Obo/24/2015,NS SR,2017-01-30,3_PENALTY_NO_MODERATION,15998
